//以下全部出自网络和大佬资源，如有冒犯请联系删除。[所有内容仅供学习使用，请勿用于违法用途]
//


💝中国港澳👉天天,#genre#
TVB功夫,https://s2.pub/CCTV-20 

欢乐新闻,https://s2.pub/CCTV-19
点掌财经,https://wsvideo.aniu.tv/live/aniu/playlist.m3u8 
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港電台(RTHK 34),https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
香港電台(RTHK 34),https://livedoc.cgtn.com/1000d/prog_index.m3u8
耀才财经,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8

耀才财经,https://epg.pw/stream/72e6d938d023bbb1ad2c783c86273475d217a32541d77fb5c4113cfe7ae02b2b.m3u8
CGNTV1,http://live.cgtn.com/1000/prog_index.m3u8
CGNTV2,http://livear.cgtn.com/1000a/prog_index.m3u8
CGNTV3,http://livees.cgtn.com/1000e/prog_index.m3u8
CGNTV4,http://liveru.cgtn.com/1000r/prog_index.m3u8
CGNTV5,https://livedoc.cgtn.com/500d/prog_index.m3u8
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
TVB 亚洲武侠台,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
CNA新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
BBC新闻,http://tv.balkanweb.com:8081/news24/livestream/playlist.m3u8
CNN新闻,http://livees.cgtn.com/500e/prog_index.m3u8
CNN新闻,https://livees.cgtn.com/1000e/prog_index.m3u8
半岛新闻,https://live-hls-web-aje.getaj.net/AJE/01.m3u8
半岛新闻,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
半岛新闻,https://live-hls-web-aje.getaj.net/AJE/02.m3u8
半岛新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
秋月剪水,http://huanqiuzhibo.cn/manifest/douyu.php?id=9588891
海峡两岸,http://hls.cntv.myhwcdn.cn/asp/hls/1200/0303000a/3/default/93dafada4e35457788319f02f5063529/1200.m3u8
香港佛陀,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
1989香港小姐竞选,http://jsmov2.a.yximgs.com/bs3/video-hls/5259922993058236574_hlsb.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=e5b4ef626c5980be2fbdf2e7-158332927312639
TVB星河,http://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
TVB娱乐新闻台,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
TVB娱乐新闻台,https://edge6a.v2h-cdn.com/enew/enew.stream/chunklist.m3u8
TVB功夫台,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
TVB功夫台,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
TVB功夫台,https://edge6a.v2h-cdn.com/asia_action/asia_action.stream/chunklist.m3u8
TVB功夫台,https://ali.hlspull.yximgs.com/live/12344.flv
TVB娱乐新闻台,http://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
TVB娱乐新闻台,https://edge6a.v2h-cdn.com/enew/enew.stream/chunklist.m3u8
法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
澳门莲花,http://php.jdshipin.com:8880/amlh.php
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8
澳门卫视,https://live.mastvnet.com/lsdream/MSTV/1500/live.m3u8
凤凰卫视中文台,http://wouu.net:9977/rtp/239.93.0.162:2192?Cf=cfss.cc
凤凰卫视中文台,http://hikvision.city:880/fhws.m3u8
凤凰卫视中文台,http://wouu.net:9977/rtp/239.93.0.162:2192?Cf=cfss.cc
凤凰卫视中文台,http://www.cdtriot.cn:9999/udp/239.93.0.162:2192
凤凰卫视中文台,http://112.19.171.156:9999/udp/239.93.0.162:2192
凤凰卫视资讯台,http://hikvision.city:880/fhzx.m3u8
